conservativespirit.com,0.2,0.25,22,25,10,10,10,,,,0.222,100,33,0,0,0,0,Weak
conservativestate.com,0.3,0.34,37,26,13,13,18,,,,0.278,283882,84,0,0,0,0,Weak
DeadlyClear.wordpress.com,0.3,0.33,29,33,13,13,14,7097003,,6560953,0,1019,155,0,0,0,0,Moderate
extraclubmagazine.com,0.1,0.13,6,18,1,1,9,,,,0.167,19,6,0,0,0,0,VeryWeak
ihavethetruth.com,0.4,0.45,46,38,9,9,18,4694495,,4245158,0.444,2072,245,1,1,0,0,Moderate
investmentwatchblog.com,0.6,0.64,65,53,27,27,54,69118,17291,63913,0.056,650404,5805,27,10,6,2,VeryStrong
makeamericagreattoday.com,0.3,0.32,27,32,8,8,13,,,,0.611,217,70,0,0,0,0,Weak
newslogue.com,0.4,0.38,41,30,10,10,27,,,,0.444,18942,218,0,0,0,0,Moderate
readconservatives.news,0.3,0.29,26,27,19,19,8,,,,0.111,238,38,0,0,0,0,Weak
reagancoalition.com,0.4,0.46,46,40,11,11,33,6632045,,5991176,0.056,8701,861,0,0,0,0,Strong
sputniknews.com,0.8,0.86,92,67,65,65,77,827,,827,0.056,22932565,68436,3825,412,1354,85,VeryStrong
usherald.com,0.4,0.48,49,39,14,14,11,,,,0.056,5477,560,1,1,0,0,Strong
notallowedto.com,0.5,0.49,51,40,12,12,33,1719887,,1672296,0.056,1681,417,1,1,0,0,Moderate
angrypatriotmovement.com,0.4,0.44,46,36,12,12,23,,,,0,4927,425,2,1,0,0,Moderate
BB4SP.com,0.4,0.43,41,38,18,18,32,673398,157187,551524,0.056,1196600,296,0,0,0,0,Moderate
fprnradio.com,0.3,0.33,29,33,8,8,32,,,,0.056,1674,105,0,0,0,0,Moderate
neonnettle.com,0.5,0.59,61,48,23,23,50,120279,30914,104619,0.111,1190309,2889,17,5,0,0,VeryStrong
pamelageller.com,0.6,0.63,63,53,18,18,37,,,,0,1380939,3080,30,8,0,0,VeryStrong
prepperwebsite.com,0.4,0.48,45,44,40,40,40,951405,179123,801019,0.056,1242415,1052,0,0,0,0,VeryStrong
16wmpo.com,0.2,0.24,23,22,6,6,10,,,,0,27,13,0,0,0,0,Weak
24newsflash.com,0.1,0.11,7,13,0,0,3,,,,0.889,1,1,0,0,0,0,VeryWeak
24wpn.com,0.2,0.18,14,20,1,1,7,,,,0,9,7,0,0,0,0,VeryWeak
70news.wordpress.com,0.4,0.48,52,37,11,11,22,,,,0,3019,444,1,1,0,0,Moderate
abcnews.com.co,0.5,0.55,57,44,16,16,23,2080788,,1760020,0,5680,796,34,19,0,0,Strong
abcnewsgo.co,0.3,0.34,33,30,4,4,13,,,,0.444,1398,80,0,0,0,0,Weak
alternativemediasyndicate.com,0.4,0.42,43,34,7,7,11,,,,0,7005,237,0,0,2,1,Moderate
americannews.com,0.5,0.51,52,43,15,15,16,3222115,,2831288,0,3844,534,31,12,0,0,Strong
americanoverlook.com,0.4,0.42,40,38,8,8,12,,,,0.056,3857,492,0,0,0,0,Moderate
americanpoliticnews.co,0,0.02,1,3,0,0,0,,,,0,0,0,0,0,0,0,VeryWeak
americanpresident.co,0.2,0.21,20,19,0,0,1,,,,0,15,8,0,0,0,0,VeryWeak
Amposts.com,0.1,0.15,10,18,1,1,7,,,,0.778,67,6,0,0,0,0,VeryWeak
anews24.org/,0.3,0.37,34,34,2,2,12,,,,0.5,7654,151,0,0,0,0,Moderate
anonjekloy.tk,0.1,0.1,8,11,0,0,4,,,,0.389,2,1,0,0,0,0,VeryWeak
aurora-news.us,0.2,0.21,20,19,0,0,5,,,,0,26,9,0,0,0,0,VeryWeak
beforeitsnews.com,0.7,0.75,76,63,27,27,49,21111,6144,29029,0.111,3070111,18407,1193,172,93,18,VeryStrong
bighairynews.com,0.3,0.28,21,30,9,9,24,,,,0.111,9838,86,0,0,0,0,Weak
blackinusrancenews.com,0,0.02,1,3,0,0,0,,,,0.611,0,0,0,0,0,0,VeryWeak
bostonleader.com,0.4,0.38,45,26,5,5,25,5315440,,6426854,0.056,476,90,3,1,0,0,Weak
buzzfeedusa.com,0.2,0.23,22,21,7,7,7,,,,0.611,28,14,3,1,0,0,Weak
cannasos.com,0.5,0.49,45,46,14,14,30,197662,57640,188504,0.278,327339,1289,0,0,0,0,VeryStrong
cap-news.com,0.4,0.38,35,36,15,15,14,,,,0,1562,465,8,4,0,0,Moderate
cbsnews.com.co,0.3,0.35,34,30,14,14,13,,,,0,758,98,8,2,0,0,Weak
channel-7-news.com,0.2,0.19,15,20,2,2,8,,,,0.5,72,16,0,0,0,0,Weak
channel18news.com,0.2,0.21,18,20,6,6,16,,,,0.222,42,14,0,0,0,0,Weak
cityworldnews.com,0.3,0.35,35,30,8,8,26,8699895,,8484628,0.167,850,109,0,0,0,0,Moderate
civictribune.com,0.3,0.34,32,31,6,6,26,,,,0.111,365,86,4,2,0,0,Weak
clashdaily.com,0.5,0.58,58,50,24,24,46,131948,24024,127642,0.056,649187,2466,5,2,0,0,VeryStrong
cnnews3.com,0.2,0.19,15,20,6,6,7,,,,0.833,32,11,0,0,0,0,Weak
coed.com,0.7,0.72,78,55,21,21,49,136917,49884,124545,0.056,110406,6154,37,18,1,1,VeryStrong
conservativebyte.com,0.5,0.51,51,44,17,17,19,,,,0.444,21677,1313,1,1,0,0,VeryStrong
conservativedailypost.com,0.5,0.58,62,46,13,13,46,523712,120094,454323,0.056,39137,1444,2,1,0,0,VeryStrong
conservativefighters.com,0.5,0.49,50,41,9,9,38,1422374,,1192101,0.222,6019,518,7,2,0,0,Strong
conservativeflashnews.com,0.2,0.23,21,21,7,7,8,,,,0.5,84,10,0,0,0,0,Weak
conservativeinfidel.com,0.4,0.39,39,33,8,8,18,,,,0,2312,221,2,1,1,1,Moderate
dailybuzzlive.com,0.5,0.53,55,43,12,12,31,1930731,,2082316,0.111,2283,610,12,6,0,0,Strong
dailyheadlines.com,0.3,0.37,35,34,6,6,26,1295908,,1067163,0.056,1705,187,0,0,0,0,Moderate
dailyheadlines.net,0.4,0.46,45,40,10,10,33,891593,,788808,0.111,6979,434,0,0,0,0,Moderate
dailyinfobox.com,0.2,0.17,14,18,0,0,6,,,,0.667,15,8,0,0,0,0,VeryWeak
dailynews10.com,0.1,0.15,14,13,6,6,9,,,,0.889,35,27,0,0,0,0,Weak
dailynews5.com,0.2,0.18,16,17,6,6,8,,,,0.833,16,9,0,0,0,0,VeryWeak
dailynewsposts.info,0.3,0.33,27,35,4,4,14,,,,0.556,4634,133,0,0,0,0,Moderate
dailysurge.com,0.4,0.46,46,39,12,12,36,174643,29286,238539,0.056,17437,535,1,1,0,0,Strong
dailyusaupdate.com,0.3,0.28,28,24,7,7,8,,,,0,185,36,0,0,0,0,Weak
damnleaks.com,0.3,0.29,27,26,3,3,14,,,,0.778,793,105,2,2,0,0,Moderate
dcgazette.com,0.5,0.49,50,41,15,15,30,1418244,,1217194,0.111,3334,541,20,5,0,0,Strong
ddemocraticunderground.com,0,0.02,1,3,3,3,1,,,,0,1,1,0,0,0,0,VeryWeak
denverguardian.com,0.4,0.44,47,35,9,9,16,,,,0,573,193,2,2,0,0,Moderate
departed.co,0.3,0.36,37,30,7,7,15,,,,0.722,329,106,0,0,0,0,Moderate
departedmedia.com,0.2,0.22,22,19,1,1,8,,,,0.667,86,17,0,0,0,0,Weak
DIYhours.net,0.1,0.16,12,17,3,3,5,,,,0,75,14,0,0,0,0,Weak
donaldtrumpnews.co,0.3,0.35,32,33,12,12,11,,,,0.111,407,96,0,0,0,0,Weak
DonaldTrumpPotus45.com,0.2,0.17,13,18,1,1,8,,,,0,24,7,0,0,0,0,VeryWeak
downtrend.com,0.5,0.58,60,47,11,11,41,1765586,,1516319,0.056,30548,1796,6,3,1,1,VeryStrong
drudgereport.com.co,0.2,0.26,24,24,3,3,8,,,,0,89,40,0,0,0,0,Weak
embols.com,0.3,0.31,30,28,4,4,8,,,,0.5,133,45,2,1,0,0,Weak
Empirehearland.com,0,0.02,1,3,0,0,0,,,,0,0,0,0,0,0,0,VeryWeak
empireherald.com,0.4,0.39,39,34,7,7,29,6044944,,6528798,0.111,1180,174,0,0,0,0,Moderate
empirenews.net,0.5,0.57,60,45,15,15,41,1558390,,1382233,0.278,22515,1092,18,6,0,0,VeryStrong
empirenews.net,0.5,0.57,60,45,15,15,41,1558390,,1382233,0.278,22515,1092,18,6,0,0,VeryStrong
en-vovle.com,0,0.02,1,3,0,0,0,,,,0,0,0,0,0,0,0,VeryWeak
enabon.com,0.1,0.11,6,14,0,0,4,,,,0.667,27,5,0,0,0,0,VeryWeak
enduringvision.com,0.3,0.33,30,32,35,35,31,,,,0.056,2640,175,2,1,0,0,Moderate
enhlive.com,0.2,0.22,19,22,1,1,5,,,,0.778,108,24,0,0,0,0,Weak
eutopia.buzz,0.2,0.2,13,24,0,0,6,,,,0.722,50,16,0,0,0,0,Weak
fakingnews.com,0.5,0.54,58,42,16,16,35,121479,,109774,0.111,41448,885,7,5,0,0,Strong
fedsalert.com,0.2,0.23,20,22,4,4,7,,,,0.722,43,12,0,0,0,0,Weak
flashnewscorner.com,0.2,0.21,18,21,5,5,7,,,,0,18,10,0,0,0,0,Weak
floridasunpost.com,0.4,0.47,52,35,10,10,15,,,,0,625,222,0,0,0,0,Moderate
freedomdaily.com,0.5,0.56,60,43,15,15,30,2773631,,2763866,0.278,5901,560,1,1,0,0,Strong
freshdailyreport.com,0.1,0.05,3,7,0,0,0,,,,0,2,1,0,0,0,0,VeryWeak
givemeliberity01.com,0,0.02,1,3,0,0,0,,,,0,0,0,0,0,0,0,VeryWeak
globalpoliticsnow.com,0.2,0.22,22,19,7,7,7,,,,0.722,17,11,0,0,0,0,Weak
goneleft.com,0.2,0.17,14,18,2,2,6,,,,0,30,7,0,0,0,0,VeryWeak
gopthedailydose.com,0.5,0.52,53,43,10,10,13,,,,0.056,28266,856,0,0,0,0,Strong
gummypost.com,0.2,0.21,20,18,6,6,4,,,,0.167,26,12,0,0,0,0,Weak
healthycareandbeauty.com,0.1,0.15,12,16,7,7,6,,,,0,16,6,0,0,0,0,VeryWeak
healthyworldhouse.com,0.2,0.21,16,22,5,5,8,,,,0,100,14,0,0,0,0,Weak
immediatesafety.org,0.3,0.29,27,26,7,7,23,4944524,,4521992,0.056,283,46,0,0,0,0,Weak
infostormer.com,0.4,0.48,47,41,8,8,24,851634,,1020117,0.056,25045,412,0,0,0,0,Moderate
interestingdailynews.com,0.2,0.19,17,18,2,2,5,,,,0.722,14,11,2,1,0,0,Weak
intrendtoday.com,0.2,0.22,12,28,0,0,10,,,,0.278,9,4,0,0,0,0,VeryWeak
itaglive.com,0.2,0.2,12,25,0,0,7,,,,0.222,57,15,0,0,0,0,Weak
ItMakesSenseBlog.com,0.5,0.5,51,41,12,12,18,799559,,795753,0,24016,790,5,1,0,0,Strong
iwanttoexplore.com,0.2,0.17,13,18,2,2,4,,,,0.722,6,3,0,0,0,0,VeryWeak
KMT11.com,0.2,0.21,22,16,0,0,7,,,,0.778,44,16,0,0,0,0,Weak
konkonsagh.biz,0.2,0.21,17,22,0,0,9,,,,0.722,45,11,0,0,0,0,Weak
krbcnews.com,0.2,0.26,25,23,3,3,18,,,,0.667,106,36,0,0,0,0,Weak
ky12news.com,0.2,0.24,24,20,6,6,9,,,,0.833,24,15,0,0,0,0,Weak
ladylibertynews.com,0.1,0.16,14,15,2,2,5,,,,0,23,6,0,0,0,0,VeryWeak
lastdeplorables.com,0.2,0.17,14,17,2,2,8,,,,0.278,4,4,0,0,0,0,VeryWeak
learnprogress.org,0.3,0.36,39,28,4,4,9,,,,0,730,86,0,0,0,0,Weak
liberalplug.com,0.3,0.27,27,23,6,6,8,,,,0,76,17,0,0,0,0,Weak
libertyalliance.com,0.4,0.43,37,42,18,18,23,,,,0.444,15120,636,0,0,0,0,Strong
libertyblitzkrieg.com,0.6,0.6,60,51,23,23,41,659466,226830,582651,0,655423,2736,0,0,0,0,VeryStrong
local31news.com,0.2,0.21,20,18,6,6,9,,,,0.667,63,8,7,1,0,0,VeryWeak
madworldnews.com,0.6,0.69,78,50,23,23,43,179084,36258,183015,0.056,39687,2220,4,4,0,0,VeryStrong
maganews.co,0.1,0.13,7,17,0,0,0,,,,0.278,3,2,0,0,0,0,VeryWeak
majorthoughts.com,0.1,0.09,8,9,6,6,1,,,,0.444,1,1,0,0,0,0,VeryWeak
mediamass.net,0.6,0.64,70,48,19,19,49,94251,,75354,0.056,75640,3246,9,3,0,0,VeryStrong
megynkelly.us,0.3,0.31,33,24,7,7,12,,,,0.056,197,51,0,0,0,0,Weak
mentor2day.com,0.2,0.21,17,21,3,3,13,,,,0.222,534,22,0,0,0,0,Weak
metropolitanworlds.com,0.2,0.19,17,19,0,0,6,,,,0.056,28,16,0,0,0,0,Weak
mpidailymagazine.com,0.1,0.09,3,13,0,0,4,,,,0,6,2,0,0,0,0,VeryWeak
mrconservative.com,0.5,0.53,56,43,14,14,25,7778592,,7476892,0,16781,1323,9,4,0,0,VeryStrong
msnbc.website,0,0,,,,,,,,,0,,,,,,,
myfreshnews.com,0.2,0.25,19,27,4,4,11,,,,0.611,186,42,0,0,0,0,Weak
myzonetoday.com,0.2,0.18,13,21,0,0,10,,,,0.778,538,57,0,0,0,0,Weak
nationonenews.com,0.4,0.4,42,32,9,9,8,,,,0.667,2418,240,5,1,0,0,Moderate
nbc.com.co,0.4,0.42,43,35,12,12,15,,,,0,1162,279,2,1,0,0,Moderate
nephef.com,0.1,0.12,9,13,3,3,6,,,,0.611,6,4,0,0,0,0,VeryWeak
newpoliticstoday.com,0.2,0.23,22,21,6,6,8,,,,0.722,51,25,0,0,0,0,Weak
news4ktla.com,0.3,0.36,36,30,12,12,25,5456301,,4957317,0.222,437,70,8,2,0,0,Weak
newsbbc.net,0.3,0.28,25,27,14,14,21,,,,0.222,4804,179,5,1,0,0,Moderate
newsbreakshere.com,0.3,0.3,30,25,2,2,9,,,,0.5,160,37,0,0,0,0,Weak
newsbysquad.com,0.1,0.08,5,10,0,0,1,,,,0.833,2,2,0,0,0,0,VeryWeak
newsexaminer.net,0.5,0.51,53,42,27,27,36,361919,,315125,0.056,13053,897,3,1,0,0,Strong
newsfrompolitics.com,0.2,0.22,17,24,7,7,6,,,,0.111,65,13,0,0,0,0,Weak
newsleak.co,0.2,0.16,14,16,0,0,6,,,,0.111,14,6,0,0,0,0,VeryWeak
newslo.com,0.4,0.47,50,37,11,11,34,621878,,587917,0.111,2614,544,5,4,0,0,Strong
newsmagazine.com,0.1,0.1,6,13,2,2,6,,,,0.444,7,5,0,0,0,0,VeryWeak
newswatch28.com,0.3,0.36,37,29,4,4,11,,,,0.667,202,64,0,0,0,0,Weak
newswatch33.com,0.4,0.41,44,32,12,12,12,,,,0.222,1238,186,0,0,0,0,Moderate
newsdaily12.com,0.2,0.25,27,19,2,2,7,,,,0.833,95,21,0,0,0,0,Weak
newswithviews.com,0.6,0.63,62,54,37,37,47,280995,61654,252018,0.056,684238,5808,21,10,0,0,VeryStrong
now8news.com,0.5,0.49,51,40,10,10,34,1875524,,1768383,0.278,3808,493,12,3,0,0,Moderate
onepoliticalplaza.com,0.4,0.4,40,34,8,8,14,514565,175597,564872,0.167,2227,297,0,0,0,0,Moderate
onlineconservativepress.com,0.2,0.19,14,21,0,0,6,,,,0.389,24,8,0,0,0,0,VeryWeak
openmagazines.com,0.2,0.23,21,22,3,3,9,,,,0,86,14,0,0,0,0,Weak
pakalertpress.com,0.5,0.54,55,45,56,56,45,3342458,,3498613,0.278,1328330,1983,3,2,0,0,VeryStrong
politicalo.com,0.3,0.29,27,26,8,8,18,,,,0.167,287,58,0,0,0,0,Weak
politicalsitenews.com,0.2,0.19,15,21,0,0,15,,,,0.056,36,20,0,0,0,0,Weak
politicalupdator.com,0.1,0.06,3,9,0,0,0,,,,0,0,0,0,0,0,0,VeryWeak
politicono.com,0.2,0.26,28,21,12,12,14,,,,0.167,60,18,5,1,0,0,Weak
politicsusanews.com,0.2,0.21,20,19,21,21,10,,,,0.667,136,13,0,0,0,0,Weak
president45donaldtrump.com,0.2,0.23,19,24,6,6,9,,,,0.278,153,22,0,0,0,0,Weak
prntly.com,0.5,0.49,51,40,12,12,29,3054696,,3004362,0,18046,441,2,2,0,0,Moderate
proamericanews.com,0.2,0.16,13,17,1,1,5,,,,0,24,4,0,0,0,0,VeryWeak
proudcons.com,0.3,0.37,36,32,12,12,13,9613496,,9385045,0,1186,158,0,0,0,0,Moderate
react365.com,0.4,0.41,42,33,13,13,31,1137424,,922566,0.556,1134704,247,0,0,0,0,Moderate
realnewsrightnow.com,0.5,0.49,50,40,14,14,23,6551452,,5893688,0.111,1400,307,25,8,0,0,Moderate
redcountry.us,0.2,0.17,15,17,8,8,10,,,,0.833,110,13,0,0,0,0,Weak
redrocktribune.com,0.3,0.3,27,28,4,4,11,,,,0.833,539,57,0,0,0,0,Weak
religionmind.com,0.2,0.26,26,22,9,9,6,,,,0,579,51,0,0,0,0,Weak
rhotv.com,0.1,0.11,6,15,0,0,0,,,,0.556,0,0,0,0,0,0,VeryWeak
rickwells.us,0.4,0.48,48,40,9,9,35,,,,0.056,40378,438,0,0,0,0,Moderate
rilenews.com,0.2,0.24,21,24,3,3,7,,,,0,45,19,2,1,0,0,Weak
rogue-nation3.com,0.1,0.15,8,20,0,0,5,2633800,,2297294,0.222,84,14,0,0,0,0,Weak
rumorjournal.com,0,0.04,3,5,4,4,1,,,,0,3,2,0,0,0,0,VeryWeak
smag31.com,0.3,0.34,,,,,,1338535,0,1212664,0.056,,,,,,,
socialeverythings.com,0.2,0.22,21,19,2,2,5,,,,0,17,9,0,0,0,0,VeryWeak
stormcloudsgathering.com,0.4,0.48,42,46,17,17,27,3377640,,3962364,0.667,11335,643,3,1,0,0,Strong
subjectpolitics.com,0.4,0.43,43,36,8,8,29,,,,0.111,2194,203,0,0,0,0,Moderate
success-street.com,0.2,0.21,17,22,4,4,6,,,,0.778,21,13,0,0,0,0,Weak
supremepatriot.com,0.3,0.37,36,33,7,7,8,6580396,,5931128,0,990,101,0,0,0,0,Moderate
TDTalliance.com,0.3,0.28,26,25,8,8,11,,,,0.556,171,38,0,0,0,0,Weak
teaparty.org,0.6,0.61,64,49,19,19,41,148044,72836,145667,0.111,81146,3085,37,18,0,0,VeryStrong
